                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2442,                 4.1457,                 4.1703,                0.00061,                0.16174,                0.00041,                0.00015,                 3.0517,                 4.5747,                 4.1422,             0.00064815,             0.00064815,             0.00064815
                      2,                 2.8696,                 3.1211,                 3.4657,                0.00054,                0.14087,                0.00039,                0.00013,                 3.0951,                 4.3662,                 4.1466,              0.0012714,              0.0012714,              0.0012714
                      3,                 2.5039,                 2.5069,                 3.0249,                 0.0021,                0.54087,                0.01003,                 0.0032,                 2.5298,                 4.1452,                 3.5459,              0.0018507,              0.0018507,              0.0018507
                      4,                 2.1954,                 2.1963,                 2.7412,                 0.5785,                0.65739,                0.60489,                0.24525,                 2.0372,                 2.1765,                 2.7567,               0.001802,               0.001802,               0.001802
                      5,                 2.0327,                 1.8742,                 2.5051,                0.54257,                0.64567,                0.50775,                0.22676,                 1.7204,                  2.298,                 2.3613,               0.001802,               0.001802,               0.001802
                      6,                 1.8529,                  1.704,                 2.3633,                0.59422,                    0.6,                 0.6074,                0.27257,                 1.9429,                 2.0612,                 2.6878,               0.001736,               0.001736,               0.001736
                      7,                 1.6873,                  1.476,                 2.1933,                0.74989,                0.70957,                0.81583,                0.50903,                 1.5187,                 1.7898,                 2.0344,                0.00167,                0.00167,                0.00167
                      8,                 1.5477,                  1.349,                 2.0424,                0.26571,                0.69565,                0.24696,                0.14326,                 1.4339,                 3.7343,                 2.0083,               0.001604,               0.001604,               0.001604
                      9,                 1.4674,                 1.1797,                 1.9377,                0.90412,                0.86915,                0.95331,                0.61572,                 1.3079,                 1.0923,                 1.8584,               0.001538,               0.001538,               0.001538
                     10,                 1.4035,                  1.119,                 1.8418,                0.86231,                0.90398,                0.94171,                0.63193,                 1.2502,                 1.1121,                 1.7089,               0.001472,               0.001472,               0.001472
                     11,                 1.3052,                 1.0473,                 1.7611,                0.91611,                0.84696,                0.94664,                0.66357,                 1.1317,                0.97331,                  1.596,               0.001406,               0.001406,               0.001406
                     12,                 1.3152,                 1.0292,                 1.7172,                0.89319,                0.84696,                0.94546,                0.65841,                 1.1221,                  1.024,                 1.5713,                0.00134,                0.00134,                0.00134
                     13,                 1.2299,                0.94343,                 1.6702,                0.85975,                0.92348,                0.95454,                0.68499,                 1.0672,                0.93004,                 1.5769,               0.001274,               0.001274,               0.001274
                     14,                 1.2269,                0.90953,                  1.638,                 0.9613,                0.86389,                0.97407,                0.72639,                 1.0048,                0.78886,                 1.4578,               0.001208,               0.001208,               0.001208
                     15,                 1.1714,                0.90011,                 1.5844,                0.95729,                0.93556,                 0.9869,                0.73169,                 1.0295,                0.82986,                  1.484,               0.001142,               0.001142,               0.001142
                     16,                 1.1253,                0.85362,                 1.5456,                0.95024,                0.90435,                0.96992,                0.74051,                0.92186,                0.90787,                 1.3741,               0.001076,               0.001076,               0.001076
                     17,                  1.127,                0.84422,                 1.5486,                0.93906,                0.95478,                0.98269,                0.74549,                0.92959,                0.72089,                 1.3563,                0.00101,                0.00101,                0.00101
                     18,                 1.0865,                 0.7952,                 1.4982,                0.94062,                0.93667,                0.97753,                0.72341,                0.96612,                 0.7893,                 1.4156,               0.000944,               0.000944,               0.000944
                     19,                 1.1219,                0.79191,                 1.5091,                0.96655,                0.95489,                0.98741,                0.76051,                0.90815,                0.68601,                 1.3581,               0.000878,               0.000878,               0.000878
                     20,                 1.0791,                0.76487,                 1.4973,                0.93761,                0.94261,                0.98472,                0.71167,                 1.0478,                0.78869,                 1.4008,               0.000812,               0.000812,               0.000812
                     21,                0.96244,                0.74535,                 1.3894,                0.92989,                 0.9688,                0.98095,                 0.7532,                0.91087,                0.68787,                 1.3592,               0.000746,               0.000746,               0.000746
                     22,                0.88352,                0.65484,                 1.3294,                0.92782,                0.96125,                0.97683,                0.76492,                0.84731,                0.66519,                 1.2921,                0.00068,                0.00068,                0.00068
                     23,                0.91591,                0.65174,                 1.3475,                0.95715,                 0.9687,                0.98987,                0.77432,                0.85651,                0.61444,                 1.2892,               0.000614,               0.000614,               0.000614
                     24,                  0.871,                0.61352,                 1.3268,                0.98764,                0.97289,                0.99411,                0.79504,                0.80191,                0.57545,                 1.2673,               0.000548,               0.000548,               0.000548
                     25,                0.84311,                0.60038,                 1.3052,                0.96365,                0.96828,                0.99106,                0.79443,                0.78273,                0.57603,                 1.2364,               0.000482,               0.000482,               0.000482
                     26,                0.82651,                0.57249,                  1.275,                 0.9709,                0.98637,                0.99344,                0.81447,                 0.7673,                0.53494,                 1.2258,               0.000416,               0.000416,               0.000416
                     27,                0.81492,                0.56175,                 1.2712,                0.97409,                0.98783,                0.99405,                 0.8174,                0.73338,                0.51497,                 1.1954,                0.00035,                0.00035,                0.00035
                     28,                0.80558,                0.54184,                 1.2784,                0.98263,                0.98408,                0.99399,                0.81611,                0.74541,                0.49684,                 1.2097,               0.000284,               0.000284,               0.000284
                     29,                0.78728,                0.52102,                 1.2559,                0.98266,                0.98556,                0.99416,                0.81299,                0.74058,                0.49044,                 1.1952,               0.000218,               0.000218,               0.000218
                     30,                0.78599,                0.51527,                 1.2542,                0.97831,                0.98783,                0.99329,                0.82276,                0.71903,                0.48194,                 1.1777,               0.000152,               0.000152,               0.000152
